t,duration,distance
11:15:00,132.0,1336.0
20:00:00,426.0,3702.0
18:15:00,707.0,8354.0
18:45:00,163.0,1521.0
19:00:00,437.0,3818.0
18:30:00,626.0,7670.0
18:00:00,566.0,5879.0
20:15:00,626.0,7670.0
19:30:00,344.0,3122.0
19:15:00,205.0,1730.0
19:45:00,527.0,5594.0
21:00:00,733.0,9933.0
18:15:00,175.0,1377.0
11:15:00,377.0,3581.0
18:45:00,58.0,508.0
20:30:00,267.0,2350.0
19:15:00,657.0,9338.0
19:30:00,176.0,1533.0
18:30:00,274.0,2557.0
18:00:00,367.0,2918.0
18:45:00,322.0,2650.0
18:15:00,447.0,4843.0
19:00:00,67.0,623.0
20:45:00,243.0,2184.0
19:30:00,402.0,3849.0
19:45:00,246.0,1981.0
19:00:00,277.0,2380.0
18:15:00,626.0,7670.0
19:45:00,626.0,7670.0
18:00:00,130.0,1276.0
12:30:00,224.0,1815.0
19:45:00,665.0,7901.0
19:30:00,138.0,1142.0
18:00:00,626.0,7670.0
18:00:00,234.0,2026.0
19:15:00,276.0,2388.0
20:00:00,626.0,7670.0
19:30:00,285.0,2365.0
18:45:00,287.0,2531.0
18:45:00,220.0,1741.0
18:45:00,352.0,2738.0
18:45:00,707.0,8354.0
18:15:00,287.0,2363.0
19:30:00,707.0,8354.0
19:45:00,262.0,2295.0
18:00:00,626.0,7670.0
19:00:00,707.0,8354.0
17:45:00,626.0,7670.0
18:45:00,187.0,1667.0
18:30:00,505.0,4994.0
18:30:00,707.0,8354.0
19:15:00,626.0,7670.0
18:30:00,705.0,8445.0
18:15:00,629.0,6226.0
19:15:00,707.0,8354.0
18:00:00,626.0,7670.0
18:15:00,161.0,1362.0
19:30:00,624.0,6515.0
19:30:00,82.0,573.0
18:15:00,239.0,2076.0
18:15:00,230.0,2015.0
18:15:00,329.0,2645.0
19:00:00,175.0,1566.0
18:45:00,314.0,2670.0
20:15:00,77.0,646.0
20:00:00,113.0,990.0
18:45:00,314.0,2670.0
18:00:00,143.0,1274.0
18:15:00,685.0,6474.0
19:00:00,626.0,7670.0
19:00:00,626.0,7670.0
17:45:00,626.0,7670.0
13:45:00,381.0,3574.0
19:00:00,264.0,2014.0
18:45:00,158.0,1471.0
19:30:00,266.0,1850.0
13:15:00,163.0,1521.0
20:15:00,292.0,2357.0
18:15:00,214.0,1878.0
19:45:00,707.0,8354.0
18:45:00,366.0,3490.0
20:15:00,699.0,8374.0
19:30:00,626.0,7670.0
20:30:00,626.0,7670.0
19:45:00,234.0,1943.0
19:15:00,523.0,4386.0
19:45:00,699.0,8374.0
20:30:00,626.0,7772.0
19:15:00,103.0,880.0
18:30:00,707.0,8354.0
18:45:00,626.0,7670.0
21:00:00,541.0,6766.0
19:45:00,699.0,8374.0
19:15:00,624.0,6515.0
18:30:00,697.0,6754.0
18:15:00,542.0,6899.0
19:15:00,626.0,7670.0
20:30:00,292.0,2309.0
19:45:00,622.0,6884.0
20:00:00,580.0,5326.0
19:00:00,707.0,8354.0
18:15:00,168.0,1319.0
20:00:00,316.0,2598.0
12:30:00,265.0,2513.0
20:30:00,138.0,1142.0
12:00:00,167.0,1485.0
19:30:00,134.0,1127.0
11:15:00,352.0,2738.0
18:45:00,265.0,2513.0
18:45:00,320.0,2788.0
19:30:00,296.0,2312.0
19:00:00,299.0,2574.0
11:00:00,621.0,7471.0
19:45:00,262.0,2295.0
18:00:00,273.0,2690.0
19:00:00,282.0,2512.0
19:45:00,133.0,1263.0
18:45:00,100.0,906.0
18:15:00,626.0,7670.0
20:15:00,399.0,3677.0
21:30:00,626.0,7670.0
18:00:00,334.0,2999.0
18:15:00,250.0,2035.0
18:30:00,545.0,5723.0
17:30:00,626.0,7670.0
21:00:00,335.0,2712.0
18:15:00,248.0,2326.0
19:00:00,707.0,8354.0
19:15:00,170.0,1466.0
20:30:00,699.0,8374.0
19:15:00,262.0,2295.0
18:30:00,314.0,2906.0
18:15:00,527.0,5594.0
19:30:00,160.0,1660.0
20:30:00,626.0,7670.0
18:00:00,227.0,1900.0
20:45:00,285.0,2365.0
18:15:00,626.0,7670.0
21:15:00,699.0,8374.0
19:30:00,326.0,2661.0
20:30:00,324.0,2760.0
20:00:00,699.0,8374.0
20:00:00,262.0,2226.0
20:30:00,431.0,4146.0
18:15:00,258.0,2178.0
19:30:00,220.0,2004.0
19:45:00,626.0,7670.0
18:30:00,277.0,2395.0
18:30:00,641.0,8446.0
18:00:00,208.0,1755.0
19:15:00,268.0,2302.0
20:00:00,626.0,7670.0
20:30:00,626.0,7670.0
19:00:00,310.0,3083.0
19:45:00,626.0,7670.0
18:15:00,242.0,2060.0
18:00:00,910.0,15056.0
19:45:00,707.0,8354.0
18:00:00,58.0,508.0
18:15:00,285.0,2365.0
19:30:00,264.0,2014.0
18:00:00,626.0,7670.0
20:00:00,626.0,7670.0
19:00:00,176.0,1579.0
19:30:00,626.0,7670.0
20:00:00,163.0,1521.0
18:15:00,230.0,2172.0
18:15:00,621.0,7471.0
19:45:00,349.0,2846.0
19:30:00,601.0,5962.0
19:15:00,626.0,7670.0
18:15:00,626.0,7670.0
20:00:00,318.0,2624.0
19:45:00,239.0,2033.0
20:30:00,707.0,8354.0
20:00:00,399.0,3712.0
20:15:00,223.0,1747.0
20:15:00,352.0,2738.0
18:00:00,707.0,8354.0
19:30:00,705.0,8445.0
18:30:00,431.0,4854.0
18:30:00,201.0,1968.0
20:30:00,331.0,3023.0
21:00:00,190.0,1609.0
12:15:00,437.0,3811.0
20:15:00,208.0,1755.0
18:45:00,707.0,8354.0
18:15:00,292.0,2207.0
19:15:00,377.0,3277.0
18:15:00,221.0,1758.0
18:15:00,707.0,8354.0
19:45:00,237.0,1965.0
18:15:00,386.0,3515.0
20:00:00,316.0,2598.0
19:15:00,423.0,3621.0
19:00:00,518.0,5898.0
19:00:00,122.0,941.0
19:00:00,314.0,2670.0
20:15:00,626.0,7670.0
18:15:00,699.0,8374.0
19:30:00,551.0,5973.0
18:30:00,360.0,3443.0
18:00:00,484.0,4390.0
17:30:00,292.0,2309.0
18:30:00,723.0,10076.0
18:45:00,1152.0,14712.0
20:15:00,499.0,5311.0
18:00:00,330.0,2949.0
20:30:00,216.0,1833.0
19:30:00,852.0,10244.0
20:30:00,626.0,7670.0
20:30:00,626.0,7670.0
20:45:00,304.0,3008.0
20:00:00,145.0,1247.0
11:15:00,252.0,2136.0
19:30:00,314.0,2906.0
19:45:00,273.0,2608.0
18:15:00,707.0,8354.0
19:30:00,573.0,5835.0
19:30:00,299.0,2574.0
19:00:00,626.0,7670.0
18:30:00,389.0,3636.0
18:30:00,175.0,1566.0
19:30:00,183.0,1581.0
19:45:00,754.0,11792.0
17:30:00,458.0,5110.0
18:00:00,272.0,2308.0
18:45:00,156.0,1368.0
20:00:00,123.0,1150.0
14:30:00,626.0,7670.0
18:45:00,62.0,588.0
19:45:00,699.0,8374.0
19:30:00,211.0,1891.0
19:15:00,240.0,1745.0
18:30:00,361.0,3274.0
18:00:00,178.0,1557.0
18:00:00,707.0,8354.0
20:00:00,335.0,2712.0
19:30:00,527.0,5594.0
18:30:00,686.0,7433.0
20:30:00,807.0,11134.0
19:45:00,626.0,7670.0
20:15:00,254.0,1993.0
11:15:00,305.0,2396.0
20:00:00,431.0,4854.0
19:30:00,334.0,3186.0
18:15:00,228.0,1925.0
20:15:00,146.0,1312.0
18:30:00,607.0,5817.0
21:00:00,152.0,1377.0
19:15:00,626.0,7670.0
19:45:00,657.0,9338.0
19:30:00,707.0,8354.0
20:00:00,207.0,1848.0
20:30:00,481.0,4132.0
19:30:00,626.0,7670.0
19:00:00,133.0,1201.0
16:45:00,272.0,2442.0
20:45:00,406.0,3569.0
18:30:00,707.0,8354.0
18:45:00,293.0,2668.0
19:45:00,152.0,1286.0
19:30:00,293.0,2481.0
20:00:00,196.0,1696.0
13:00:00,478.0,6246.0
18:15:00,129.0,1037.0
19:15:00,626.0,7670.0
18:15:00,699.0,8374.0
20:15:00,351.0,2770.0
15:00:00,621.0,7471.0
18:15:00,464.0,4117.0
13:30:00,324.0,2760.0
11:30:00,375.0,3382.0
19:30:00,626.0,7670.0
11:45:00,312.0,2544.0
19:45:00,626.0,7670.0
19:00:00,239.0,1839.0
19:30:00,458.0,4013.0
18:00:00,707.0,8354.0
19:00:00,215.0,1528.0
19:00:00,198.0,1673.0
18:00:00,470.0,4707.0
19:00:00,275.0,2516.0
18:15:00,626.0,7670.0
19:30:00,210.0,1846.0
19:15:00,114.0,1076.0
18:45:00,160.0,1535.0
18:15:00,626.0,7670.0
19:15:00,88.0,709.0
18:15:00,421.0,3374.0
18:00:00,626.0,7670.0
21:15:00,266.0,2219.0
19:45:00,501.0,4057.0
19:15:00,621.0,7471.0
12:30:00,215.0,1720.0
18:30:00,626.0,7670.0
18:30:00,365.0,3329.0
19:30:00,321.0,3175.0
18:45:00,626.0,7670.0
18:15:00,616.0,6685.0
18:00:00,344.0,3043.0
20:15:00,626.0,7670.0
18:30:00,527.0,5594.0
11:30:00,217.0,2052.0
19:00:00,173.0,1192.0
19:00:00,422.0,4060.0
18:30:00,699.0,8374.0
18:30:00,626.0,7670.0
19:45:00,157.0,1595.0
19:30:00,626.0,7670.0
20:00:00,349.0,2846.0
21:15:00,263.0,2092.0
17:45:00,707.0,8354.0
19:30:00,196.0,1545.0
19:15:00,109.0,881.0
12:45:00,442.0,4180.0
18:15:00,443.0,4125.0
20:15:00,602.0,6353.0
19:30:00,244.0,2407.0
19:15:00,70.0,564.0
18:15:00,180.0,1561.0
18:45:00,287.0,2739.0
18:30:00,707.0,8354.0
18:45:00,150.0,1165.0
18:15:00,152.0,1104.0
11:15:00,626.0,7670.0
19:00:00,626.0,7670.0
21:00:00,303.0,3030.0
20:45:00,186.0,1578.0
18:15:00,626.0,7670.0
18:45:00,707.0,8354.0
19:30:00,399.0,3920.0
18:00:00,406.0,3569.0
19:30:00,168.0,1319.0
20:15:00,190.0,1862.0
19:00:00,240.0,1745.0
18:30:00,311.0,2347.0
20:15:00,699.0,8374.0
19:15:00,539.0,5777.0
19:00:00,386.0,3515.0
19:45:00,699.0,8374.0
20:30:00,304.0,2525.0
19:00:00,285.0,2365.0
16:30:00,172.0,1449.0
18:15:00,626.0,7670.0
19:00:00,366.0,2874.0
19:45:00,255.0,2178.0
19:15:00,202.0,1729.0
19:00:00,626.0,7670.0
20:15:00,267.0,2301.0
13:00:00,152.0,1175.0
18:15:00,251.0,1861.0
18:45:00,262.0,2222.0
18:15:00,626.0,7670.0
20:00:00,372.0,3344.0
19:45:00,283.0,2384.0
19:45:00,860.0,9655.0
12:15:00,612.0,7483.0
11:15:00,273.0,2264.0
18:15:00,699.0,8374.0
20:15:00,626.0,7670.0
18:45:00,349.0,3151.0
18:45:00,264.0,2014.0
19:15:00,626.0,7670.0
18:15:00,707.0,8354.0
20:15:00,254.0,1993.0
18:30:00,626.0,7670.0
20:15:00,626.0,7670.0
18:30:00,504.0,5350.0
19:15:00,266.0,2314.0
19:30:00,295.0,2555.0
19:00:00,860.0,9655.0
19:15:00,138.0,1142.0
18:30:00,324.0,3232.0
19:00:00,160.0,1055.0
20:00:00,626.0,7670.0
19:30:00,385.0,3305.0
19:15:00,67.0,623.0
18:30:00,237.0,1758.0
21:00:00,285.0,2365.0
18:15:00,60.0,368.0
19:15:00,316.0,2992.0
18:15:00,17.0,170.0
21:00:00,182.0,1794.0
18:45:00,626.0,7670.0
19:30:00,626.0,7670.0
20:45:00,486.0,4629.0
19:30:00,626.0,7670.0
18:30:00,296.0,2668.0
19:30:00,187.0,1432.0
19:45:00,332.0,3048.0
19:45:00,345.0,2715.0
18:15:00,163.0,1521.0
17:15:00,626.0,7670.0
18:45:00,626.0,7670.0
18:00:00,626.0,7670.0
18:30:00,613.0,5996.0
20:45:00,276.0,2601.0
19:30:00,291.0,2767.0
18:00:00,314.0,2670.0
19:30:00,626.0,7670.0
21:00:00,137.0,1062.0
18:15:00,95.0,788.0
19:15:00,326.0,2661.0
19:45:00,707.0,8354.0
20:30:00,403.0,3779.0
12:30:00,138.0,1142.0
19:30:00,172.0,1601.0
20:15:00,699.0,6649.0
13:30:00,259.0,1906.0
19:45:00,318.0,2798.0
17:45:00,145.0,1000.0
20:45:00,254.0,2144.0
21:15:00,475.0,3898.0
18:15:00,210.0,1846.0
19:15:00,626.0,7670.0
20:00:00,373.0,2808.0
20:45:00,234.0,1943.0
18:00:00,314.0,2670.0
20:30:00,280.0,2183.0
18:00:00,58.0,486.0
17:00:00,288.0,2537.0
20:00:00,589.0,7266.0
19:45:00,705.0,8044.0
11:30:00,300.0,2866.0
19:45:00,699.0,8374.0
19:30:00,249.0,2009.0
18:45:00,226.0,1856.0
14:00:00,279.0,2222.0
11:30:00,380.0,3518.0
19:15:00,34.0,318.0
11:45:00,134.0,1222.0
19:45:00,573.0,6452.0
18:15:00,723.0,10076.0
18:45:00,291.0,2767.0
20:00:00,285.0,2365.0
19:30:00,88.0,808.0
18:00:00,626.0,7670.0
19:00:00,415.0,4676.0
13:15:00,203.0,1734.0
17:45:00,696.0,8811.0
19:00:00,621.0,7471.0
19:45:00,626.0,7670.0
19:15:00,193.0,1713.0
19:30:00,296.0,2668.0
19:45:00,356.0,3116.0
14:30:00,157.0,1595.0
21:00:00,175.0,1333.0
18:45:00,541.0,6766.0
19:00:00,220.0,1741.0
19:15:00,541.0,6766.0
19:30:00,168.0,1515.0
18:30:00,187.0,1667.0
19:45:00,366.0,2874.0
13:00:00,110.0,818.0
18:00:00,707.0,8354.0
19:00:00,707.0,8354.0
19:45:00,201.0,1892.0
20:30:00,386.0,3596.0
18:30:00,59.0,524.0
19:45:00,218.0,1880.0
20:30:00,338.0,3372.0
18:45:00,303.0,2741.0
18:30:00,246.0,2026.0
19:15:00,626.0,7670.0
20:45:00,626.0,7670.0
18:00:00,626.0,7670.0
18:15:00,847.0,10911.0
19:45:00,626.0,7670.0
11:30:00,133.0,1201.0
18:30:00,723.0,10076.0
18:30:00,262.0,2295.0
20:30:00,182.0,1331.0
19:00:00,626.0,7670.0
20:30:00,351.0,2770.0
11:45:00,58.0,508.0
20:00:00,325.0,3140.0
19:15:00,626.0,7670.0
18:30:00,626.0,7670.0
11:15:00,852.0,10244.0
18:15:00,699.0,8374.0
12:45:00,188.0,1501.0
18:45:00,351.0,2770.0
18:30:00,338.0,3381.0
18:30:00,594.0,6377.0
18:15:00,259.0,2076.0
17:00:00,343.0,3213.0
19:00:00,707.0,8354.0
20:30:00,58.0,518.0
20:15:00,230.0,2098.0
20:15:00,258.0,2240.0
12:30:00,585.0,6118.0
12:30:00,225.0,2179.0
20:15:00,145.0,1238.0
18:30:00,291.0,2767.0
18:15:00,626.0,7670.0
19:30:00,96.0,571.0
18:30:00,707.0,8354.0
19:45:00,314.0,2670.0
19:00:00,241.0,1948.0
19:00:00,308.0,2439.0
12:15:00,152.0,1377.0
17:30:00,707.0,8354.0
18:45:00,268.0,2189.0
19:45:00,117.0,846.0
19:30:00,160.0,1088.0
11:15:00,234.0,1943.0
19:45:00,638.0,7763.0
18:15:00,164.0,1137.0
19:00:00,314.0,2906.0
18:15:00,525.0,5813.0
18:15:00,310.0,3083.0
11:30:00,164.0,1137.0
18:15:00,282.0,2314.0
18:15:00,393.0,3765.0
18:45:00,699.0,8374.0
19:30:00,375.0,3434.0
20:15:00,360.0,3124.0
11:15:00,271.0,2215.0
18:45:00,168.0,1330.0
18:30:00,319.0,2902.0
11:30:00,229.0,2067.0
18:45:00,852.0,10244.0
18:45:00,137.0,1062.0
13:45:00,220.0,1993.0
19:45:00,262.0,2295.0
18:45:00,462.0,4423.0
11:30:00,522.0,5452.0
18:00:00,238.0,2102.0
18:45:00,707.0,8354.0
20:15:00,169.0,1349.0
20:45:00,946.0,11225.0
18:15:00,221.0,1758.0
17:45:00,114.0,1060.0
18:00:00,621.0,7471.0
19:00:00,707.0,8354.0
20:15:00,626.0,7670.0
19:00:00,216.0,1913.0
19:30:00,707.0,8354.0
19:00:00,275.0,2448.0
21:15:00,621.0,7471.0
19:30:00,626.0,7670.0
18:15:00,316.0,2872.0
18:30:00,527.0,5594.0
19:15:00,626.0,7670.0
13:45:00,626.0,7670.0
19:30:00,626.0,7670.0
19:00:00,302.0,2570.0
13:00:00,707.0,8354.0
19:00:00,370.0,3261.0
19:00:00,699.0,8374.0
17:30:00,626.0,7670.0
18:15:00,226.0,1768.0
19:45:00,860.0,9655.0
18:45:00,626.0,7670.0
13:30:00,353.0,3041.0
13:00:00,707.0,8354.0
13:00:00,334.0,3124.0
18:30:00,236.0,2152.0
19:30:00,335.0,2712.0
19:00:00,259.0,2076.0
18:30:00,542.0,5582.0
19:45:00,285.0,2365.0
19:15:00,624.0,6515.0
18:15:00,235.0,2282.0
12:30:00,278.0,2513.0
19:45:00,506.0,4928.0
19:15:00,340.0,2819.0
19:30:00,504.0,5825.0
18:00:00,699.0,8374.0
18:15:00,138.0,1142.0
19:45:00,383.0,3699.0
19:45:00,626.0,7670.0
18:30:00,707.0,8354.0
18:30:00,58.0,508.0
19:45:00,807.0,11134.0
19:30:00,483.0,5049.0
20:00:00,265.0,2513.0
19:00:00,324.0,2760.0
18:30:00,404.0,3915.0
18:45:00,262.0,2295.0
19:00:00,268.0,2302.0
18:30:00,232.0,2198.0
19:30:00,567.0,4864.0
19:15:00,626.0,7670.0
18:00:00,626.0,7670.0
19:00:00,163.0,1521.0
19:30:00,707.0,8354.0
20:00:00,311.0,2996.0
11:00:00,707.0,8354.0
18:15:00,626.0,7670.0
19:00:00,720.0,8258.0
19:45:00,293.0,2668.0
18:15:00,429.0,3602.0
19:30:00,860.0,9655.0
12:00:00,222.0,1772.0
19:00:00,893.0,12305.0
18:30:00,337.0,3122.0
18:45:00,152.0,1104.0
18:15:00,626.0,7670.0
19:30:00,633.0,6736.0
18:15:00,421.0,3374.0
18:30:00,296.0,2312.0
18:45:00,626.0,7670.0
19:00:00,316.0,2901.0
20:00:00,715.0,8047.0
20:00:00,248.0,1984.0
18:15:00,252.0,2368.0
18:30:00,224.0,1815.0
18:45:00,707.0,8354.0
17:45:00,707.0,8354.0
20:00:00,245.0,2350.0
18:30:00,189.0,1626.0
18:30:00,335.0,2712.0
18:45:00,129.0,1037.0
18:15:00,754.0,11792.0
19:30:00,202.0,1729.0
18:30:00,541.0,6766.0
20:00:00,707.0,8354.0
18:45:00,860.0,9655.0
18:15:00,626.0,7670.0
19:30:00,541.0,6766.0
20:30:00,117.0,1078.0
19:30:00,95.0,788.0
12:30:00,295.0,2774.0
18:00:00,626.0,7670.0
18:00:00,739.0,6866.0
19:45:00,462.0,4178.0
20:00:00,224.0,1967.0
19:00:00,191.0,1414.0
18:15:00,375.0,3382.0
18:30:00,626.0,7670.0
19:15:00,268.0,2189.0
15:00:00,546.0,4419.0
21:00:00,163.0,1521.0
18:15:00,640.0,5953.0
18:30:00,577.0,4958.0
19:30:00,638.0,7763.0
20:30:00,496.0,5087.0
18:15:00,776.0,9495.0
20:30:00,860.0,9655.0
20:15:00,430.0,3739.0
18:15:00,626.0,7670.0
19:30:00,206.0,1873.0
18:30:00,631.0,7574.0
19:00:00,626.0,7670.0
20:00:00,154.0,1278.0
19:00:00,283.0,2398.0
20:15:00,872.0,13905.0
19:00:00,373.0,2808.0
20:15:00,300.0,2813.0
20:00:00,626.0,7670.0
18:15:00,377.0,3581.0
18:45:00,681.0,7206.0
19:30:00,201.0,1465.0
20:00:00,100.0,906.0
19:00:00,493.0,4336.0
18:30:00,189.0,1516.0
18:30:00,102.0,724.0
18:15:00,699.0,8374.0
18:15:00,352.0,3192.0
20:30:00,252.0,2136.0
18:30:00,309.0,2672.0
18:15:00,214.0,1826.0
20:15:00,256.0,2171.0
19:45:00,138.0,1142.0
